编号,名称,模型,名称方式,备注,抵抗封印等级,封印命中等级,血量加成,伤害加成,法伤加成,速度加成,防御加成,法防加成,治疗能力,固定伤害,AI战斗,门派,主动技能,特技,法宝技能,法宝佩戴,技能,技能目标数,招式特效,武器名称,武器等级,角色,可捕捉,变身数据,变异,特殊变异,饰品显示,饰品颜色,附加阵法,主怪,共生,炫彩,炫彩组
10029,化生寺护法,逍遥生,1,门派闯关,0,0,7,0,0,0,0,0,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,化生寺,,,,,高级夜战|,,,秋水人家,120,真,,,,,,,,,,,
10030,方寸山护法,飞燕女,1,门派闯关,0,0,7,0,0,0,0,0,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,方寸山,,,,,高级夜战|,,,九天金线,120,真,,,,,,,,,,,
10031,女儿村护法,英女侠,1,门派闯关,0,0,7,0,0,0,0,0,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,女儿村,,,,,高级夜战|,,,金龙双剪,120,真,,,,,,,,,,,
10032,神木林护法,巫蛮儿,1,门派闯关,0,0,7,0,0,0,0,0,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,神木林,,,,,高级夜战|,,,紫金葫芦,120,真,,,,,,,,,,,
10033,盘丝洞护法,狐美人,1,门派闯关,0,0,7,0,0,0,0,0,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,盘丝洞,,,,,高级夜战|,,,游龙惊鸿,120,真,,,,,,,,,,,
10034,魔王寨护法,巨魔王,1,门派闯关,0,0,7,0,0,0,0,0,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,魔王寨,,,,,高级夜战|,,,晓风残月,120,真,,,,,,,,,,,
10035,狮驼岭护法,虎头怪,1,门派闯关,0,0,7,0,0,0,0,0,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,狮驼岭,,,,,高级夜战|,,,元神禁锢,120,真,,,,,,,,,,,
10036,阴曹地府护法,骨精灵,1,门派闯关,0,0,7,0,0,0,0,0,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,阴曹地府,,,,,高级夜战|,,,九阴勾魂,120,真,,,,,,,,,,,
10037,无底洞护法,杀破狼,1,门派闯关,0,0,7,0,0,0,0,0,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,无底洞,,,,,高级夜战|,,,冥火薄天,120,真,,,,,,,,,,,
10038,天宫护法,舞天姬,1,门派闯关,0,0,7,0,0,0,0,0,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,天宫,,,,,高级夜战|,,,此最相思,120,真,,,,,,,,,,,
10039,普陀山护法,玄彩娥,1,门派闯关,0,0,7,0,0,0,0,0,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,普陀山,,,,,高级夜战|,,,青藤玉树,120,真,,,,,,,,,,,
10040,凌波城护法,羽灵神,1,门派闯关,0,0,7,0,0,0,0,0,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,凌波城,,,,,高级夜战|,,,庄周梦蝶,120,真,,,,,,,,,,,
10041,五庄观护法,神天兵,1,门派闯关,0,0,7,0,0,0,0,0,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,五庄观,,,,,高级夜战|,,,九瓣莲花,120,真,,,,,,,,,,,
10042,龙宫护法,龙太子,1,门派闯关,0,0,7,0,0,0,0,0,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,龙宫,,,,,高级夜战|,,,飞龙在天,120,真,,,,,,,,,,,
10043,大唐官府护卫,天将|护卫,1,门派闯关,0,0,5,0,0,0,0,0,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府|龙宫|凌波城|魔王山|,,,,,高级夜战|,,,,,,,,,,,,,,,,
10044,化生寺护卫,大力金刚|古代瑞兽|雨师,1,门派闯关,0,0,5,0,0,0,0,0,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府|龙宫|凌波城|魔王山|,,,,,高级夜战|,,,,,,,,,,,,,,,,
10045,方寸山护卫,律法女娲|净瓶女娲,1,门派闯关,0,0,5,0,0,0,0,0,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府|龙宫|凌波城|魔王山|,,,,,高级夜战|,,,,,,,,,,,,,,,,
10046,女儿村护卫,雾中仙|如意仙子|星灵仙子,1,门派闯关,0,0,5,0,0,0,0,0,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府|龙宫|凌波城|魔王山|,,,,,高级夜战|,,,,,,,,,,,,,,,,
10047,神木林护卫,长眉灵猴|藤蔓妖花|混沌兽|金身罗汉,1,门派闯关,0,0,5,0,0,0,0,0,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府|龙宫|凌波城|魔王山|,,,,,高级夜战|,,,,,,,,,,,,,,,,
10048,盘丝洞护卫,蜘蛛精|花妖|狐狸精,1,门派闯关,0,0,5,0,0,0,0,0,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府|龙宫|凌波城|魔王山|,,,,,高级夜战|,,,,,,,,,,,,,,,,
10049,魔王寨护卫,地狱战神|炎魔神|噬天虎,1,门派闯关,0,0,5,0,0,0,0,0,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府|龙宫|凌波城|魔王山|,,,,,高级夜战|,,,,,,,,,,,,,,,,
10050,狮驼岭护卫,雷鸟人|蝴蝶仙子|炎魔神|噬天虎,1,门派闯关,0,0,5,0,0,0,0,0,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府|龙宫|凌波城|魔王山|,,,,,高级夜战|,,,,,,,,,,,,,,,,
10051,阴曹地府护卫,野鬼|马面|鬼将|幽灵|吸血鬼|骷髅怪|僵尸,1,门派闯关,0,0,5,0,0,0,0,0,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府|龙宫|凌波城|魔王山|,,,,,高级鬼魂术|高级夜战,,,,,,,,,,,,,,,,
10052,无底洞护卫,猫灵兽形|修罗傀儡鬼|曼珠沙华,1,门派闯关,0,0,5,0,0,0,0,0,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府|龙宫|凌波城|魔王山|,,,,,高级夜战|,,,,,,,,,,,,,,,,
10053,天宫护卫,天兵|天将,1,门派闯关,0,0,5,0,0,0,0,0,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,凌波城|龙宫|普陀山|五庄观|天宫,,,,,高级夜战|,,,,,,,,,,,,,,,,
10054,普陀山护卫,黑熊精|雾中仙|净瓶女娲,1,门派闯关,0,0,5,0,0,0,0,0,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,凌波城|龙宫|普陀山|五庄观|天宫,,,,,高级夜战|,,,,,,,,,,,,,,,,
10055,凌波城护卫,巨力神猿|狂豹人形|修罗傀儡鬼,1,门派闯关,0,0,5,0,0,0,0,0,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,凌波城|龙宫|普陀山|五庄观|天宫,,,,,高级夜战|,,,,,,,,,,,,,,,,
10056,五庄观护卫,天兵|风伯|灵鹤,1,门派闯关,0,0,5,0,0,0,0,0,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,凌波城|龙宫|普陀山|五庄观|天宫,,,,,高级夜战|,,,,,,,,,,,,,,,,
10057,龙宫护卫,虾兵|蟹将|龟丞相,1,门派闯关,0,0,5,0,0,0,0,0,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,凌波城|龙宫|普陀山|五庄观|天宫,,,,,高级夜战|,,,,,,,,,,,,,,,,
10058,捣乱的水妖,蟹将|虾兵|大海龟|海毛虫|巨蛙|海星|章鱼|小龙女|蛟龙|龟丞相,1,游泳活动,0,0,5,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,龙宫,,,,,高级夜战|,,,,,,,,,,,,,,,,
10059,流氓,赌徒,1,官职流氓,0,0,5,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,,,,,,烈火|反击|高级夜战,,,,,,,,,,,,,,,,
10060,流氓同伙,赌徒,1,官职流氓,0,0,4,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,,,,,,雷击|反击|高级夜战,,,,,,,,,,,,,,,,
10061,突厥奸细,强盗,1,官职巡逻,0,0,4,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,,,,,,水攻|反击|高级夜战,,,,,,,,,,,,,,,,
10062,捣乱的,取随机怪,4,门派巡逻,0,0,2,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,,,,,,烈火|反击|高级夜战,,,,,,,,,,,,,,,,
10063,帮凶,取随机怪,3,门派巡逻,0,0,2,0.7,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,,,,,,烈火|反击|高级夜战,,,,,,,,,,,,,,,,
10064,,,2,门派示威,0,0,4,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,,,,,,高级夜战|,,,取任务,取任务,真,,,,,,,,,,,
10065,帮凶,取随机怪,3,门派示威,0,0,2,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,,,,,,水攻|反击|高级夜战,,,,,,,,,,,,,,,,
10066,敌人,取种族敌对,1,门派支援,0,0,3,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,,,,,,高级夜战|,,,,,,,,,,,,,,,,
10067,,,2,门派乾坤袋,0,0,3,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,,,,,,高级夜战|,,,,,,,,,,,,,,,,
10068,,,2,迷宫小怪,0,0,3,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,神木林|魔王寨|龙宫|大唐官府|狮驼岭|凌波城,,,,,高级夜战|,,,,,,,,,,,,,,,,
10069,迷宫小怪,取随机怪,1,迷宫小怪,0,0,3,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,阴曹地府|五庄观|天宫,,,,,雷击|反击|高级夜战,,,,,,,,,,,,,,,,
10070,,炎魔神,2,妖王,0,0,13,1.5,2,2,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,神木林|魔王寨|龙宫,,,,,高级夜战|,,,,,,,,,,,,,,,,
10071,,鬼将,2,妖王,0,0,13,1.5,2,2,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府|狮驼岭|凌波城,,,,,高级夜战|,,,,,,,,,,,,,,,,
10072,,净瓶女娲,2,妖王,0,0,13,1.5,2,2,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,神木林|魔王寨|龙宫,,,,,高级夜战|,,,,,,,,,,,,,,,,
10073,上古魔灵,黑山老妖|地狱战神,1,妖王,0,0,4,1.2,1.5,1.5,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,化生寺,,,,,高级夜战|,,,,,,,,,,,,,,,,
10074,幽冥鬼卒,吸血鬼|幽灵,1,妖王,0,0,4,1.2,1.5,1.5,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府|狮驼岭|凌波城,,,,,水攻|反击|高级夜战,,,,,,,,,,,,,,,,
10075,九天妖兵,灵符女娲|噬天虎,1,妖王,0,0,4,1.2,1.5,1.5,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,阴曹地府|五庄观|天宫,,,,,落岩|反击|高级夜战,,,,,,,,,,,,,,,,
10076,狸,花妖,1,江湖大盗,0,100,4,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,方寸山,,,,,高级夜战|,,,,,,,,真,,,,,,,,
10077,江湖骗子,蟹将|虾兵|大海龟|海毛虫|巨蛙|海星|章鱼|小龙女|蛟龙|龟丞相,1,江湖大盗,0,0,4,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,,,,,,高级夜战|,,,,,,,,,,,,,,,,
10078,恍然,取随机怪,1,江湖大盗,0,0,4,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,,,,,,雷击|反击|高级夜战,,,,,,,,,,,,,,,,
10079,蛊惑,取随机怪,1,江湖大盗,0,0,4,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,,,,,,水攻|反击|高级夜战,,,,,,,,,,,,,,,,
10080,色诱,取随机怪,1,江湖大盗,0,0,4,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,,,,,,落岩|反击|高级夜战,,,,,,,,,,,,,,,,
10081,难辨,取随机怪,1,江湖大盗,0,0,4,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,,,,,,烈火|反击|高级夜战,,,,,,,,,,,,,,,,
10082,,强盗,2,皇宫飞贼,0,0,7,1.2,1.5,1.5,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府,,,,,高级夜战|,,,,,,,,,,,,,,,,
10083,,吸血鬼,2,皇宫飞贼,0,0,7,1.2,1.5,1.5,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,狮驼岭,,,,,高级夜战|,,,,,,,,,,,,,,,,
10084,,夜罗刹,2,皇宫飞贼,0,0,7,1.2,1.5,1.5,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,狮驼岭,,,,,高级夜战|,,,,,,,,,,,,,,,,
10085,,雨师,2,皇宫飞贼,0,0,7,1.2,1.5,1.5,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,龙宫,,,,,高级夜战|,,,,,,,,,,,,,,,,
10086,打手,赌徒,1,皇宫飞贼,0,0,2,1.2,1.5,1.5,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,魔王寨,,,,,高级夜战|,,,,,,,,,,,,,,,,
10087,飞贼喽啰,山贼,1,皇宫飞贼,0,0,2,1.2,1.5,1.5,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府,,,,,高级夜战|,,,,,,,,,,,,,,,,
10088,飞贼护卫,地狱战神|吸血鬼,1,皇宫飞贼,0,0,2,1.2,1.5,1.5,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,狮驼岭,,,,,高级夜战|,,,,,,,,,,,,,,,,
10089,飞贼骨干,夜罗刹|兔子怪|蛟龙,1,皇宫飞贼,0,0,4,1.2,1.5,1.5,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,魔王寨,,,,,烈火|反击|高级夜战,,,,,,,,,,,,,,,,
10090,凶兽,老虎,1,皇宫飞贼,0,100,4,1.2,1.5,1.5,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true|AI类型=辅助,方寸山,,,,,高级夜战|,,,,,,,,,,,,,,,,
10091,贼王,狂豹人形,1,皇宫贼王,0,0,7,1.2,1.5,1.5,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府|狮驼岭|凌波城,,,,,高级夜战|,,,,,,,,,,,,,,,,
10092,盗贼头领,夜罗刹,1,皇宫贼王,0,0,4,1.2,1.5,1.5,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府|狮驼岭|凌波城,,,,,雷击|反击|高级夜战,,,,,,,,,,,,,,,,
10093,幽灵护卫,幽灵,1,皇宫贼王,0,0,4,1.2,1.5,1.5,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府|狮驼岭|凌波城,,,,,水攻|反击|高级夜战,,,,,,,,,,,,,,,,
10094,死士,夜罗刹,1,皇宫贼王,0,0,4,1.2,1.5,1.5,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府|狮驼岭|凌波城,,,,,高级夜战|,,,,,,,,,,,,,,,,
10095,劫匪,鬼将|幽灵|炎魔神|混沌兽|灵符女娲|雾中仙|蜃气妖|长眉灵猴|狂豹人形,1,镖王,0,0,7,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府|狮驼岭,,,,,高级夜战|,,,,,真,,,,,,,,,,,
10096,帮凶,取随机怪,3,镖王,0,0,4,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府|狮驼岭|凌波城,,,,,雷击|反击|高级夜战,,,,,,,,,,,,,,,,
10097,通缉犯,强盗,1,三界悬赏令,0,0,7,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府,,,,,高级夜战|,,,,,,,,,,,,,,,,
10098,帮凶,取随机怪,3,三界悬赏令,0,0,2,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,,,,,,奔雷咒|地狱烈火|水漫金山|高级水属性吸收|水属性吸收|高级夜战,,,,,,,,,,,,,,,,
10099,芭蕉木妖,树怪,1,乌鸡副本副本,0,0,2,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,,,,,,奔雷咒|地狱烈火|水漫金山|高级水属性吸收|水属性吸收|高级夜战,,,,,真,,,,,,,,,,,
10100,伙伴木妖,树怪,1,乌鸡副本副本,0,0,2,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,,,,,,奔雷咒|地狱烈火|水漫金山|高级水属性吸收|水属性吸收|高级夜战,,,,,,,,,,,,,,,,
10101,,地狱战神,2,乌鸡副本副本,0,0,7,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,,,,,,奔雷咒|地狱烈火|水漫金山|高级水属性吸收|水属性吸收|高级夜战,,,,,,,,,,,,,,,,
10102,妖怪守卫,兔子怪,1,乌鸡副本副本,0,0,2,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,,,,,,奔雷咒|地狱烈火|水漫金山|高级水属性吸收|水属性吸收|高级夜战,,,,,,,,,,,,,,,,
10103,妖怪守卫,牛头,1,乌鸡副本副本,0,0,2,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,,,,,,奔雷咒|地狱烈火|水漫金山|高级水属性吸收|水属性吸收|高级夜战,,,,,,,,,,,,,,,,
10104,鬼祟小怪,取随机怪,1,乌鸡副本副本,0,0,2,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,,,,,,奔雷咒|地狱烈火|水漫金山|高级水属性吸收|水属性吸收|高级夜战,,,,,,,,,,,,,,,,
10105,乌鸡国王,大力金刚,1,乌鸡副本副本,0,0,7,1.2,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,狮驼岭,,,,,高级夜战|,,,,,,,,,,,,,,,,
10106,侍从,蛤蟆精,1,乌鸡副本副本,0,0,2,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,魔王寨|龙宫,,,,,高级夜战|,,,,,,,,,,,,,,,,
10107,侍女,狐狸精,1,乌鸡副本副本,0,0,2,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,魔王寨|龙宫,,,,,高级夜战|,,,,,,,,,,,,,,,,
10108,通用主怪1,,2,天庭叛逆,0,0,6,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,神木林|魔王寨|龙宫|大唐官府|狮驼岭|凌波城,,,,,高级夜战|,,,,,,,,,,,,,,,,
10109,叛逆的,持国巡守|毗舍童子|灵灯侍者|般若天女|真陀护法|增长巡守|金身罗汉|曼珠沙华|红萼仙子|琴仙|金饶僧|灵鹤|雾中仙|大力金刚|净瓶女娲|律法女娲|灵符女娲|如意仙子|巡游天神|星灵仙子|蛟龙|凤凰|雨师|天兵|风伯|龟丞相|小龙女,4,天庭叛逆,0,0,3,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,,,,,,水攻|反击|高级夜战,,,,,,,,,,,,,,,,
10110,地煞星主怪,,2,地煞星,100,0,21,2,2,2.5,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,取任务,,,,,奔雷咒|地狱烈火|水漫金山|高级水属性吸收|水属性吸收|高级夜战,,,取任务,取任务,真,,,,,,,,,,取任务,取任务
10111,铁血,大力金刚|,1,地煞星,0,0,15,1.2,1,2,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府|狮驼岭|凌波城|,破碎无双|破血狂攻,,,,高级夜战|,,,,,,,,,,,,,,,,
10112,玄法,炎魔神,1,地煞星,0,0,15,1,1.5,2,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,神木林|魔王寨|龙宫|,,,,,高级夜战|,,,,,,,,,,,,,,,,
10113,神封,雾中仙,1,地煞星,0,100,15,1,1,2,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true|AI类型=辅助,方寸山|女儿村|盘丝洞|无底洞|,,笑里藏刀|,,,高级夜战|,,,,,,,,,,,,,,,,
