编号,名称,类型,等级,属性,技能,资质,成长,价格
64,泡泡,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,42999
65,律法女娲,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,62999
66,幽灵,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,62999
67,吸血鬼,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,62999
68,阴阳伞,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,62999
69,灵符女娲,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,62999
70,云游火,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8889,0.8,88888
71,鬼将,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8890,0.8,88888
72,画魂,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8891,0.8,88888
73,净瓶女娲,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8892,0.8,88888
74,幽萤娃娃,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8893,0.8,88888
75,狐不归,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8895,0.8,88888
76,雾中仙,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8896,0.8,108888
77,灵鹤,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8897,0.8,108888
78,金饶僧,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8898,0.8,108888
79,炎魔神,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8899,0.8,108888
80,噬天虎,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8900,0.8,108888
81,月魅,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8901,0.8,388888
82,大力金刚,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8902,0.8,388888
83,夜罗刹,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8903,0.8,388888
84,琴仙,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8904,0.8,388888
85,踏云兽,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8905,0.8,388888
86,红萼仙子,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8906,0.8,388888
87,葫芦宝贝,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8907,0.8,388888
88,猫灵兽形,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8908,0.8,388888
89,狂豹兽形,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8909,0.8,388888
90,蝎子精,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8910,0.8,388888
91,龙龟,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8911,0.8,388888
92,机关兽,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,388888
93,机关鸟,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,388888
94,连弩车,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,388888
95,巴蛇,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,388888
96,猫灵人形,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,388888
97,狂豹人形,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,388888
98,长眉灵猴,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,388888
99,巨力神猿,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,388888
100,修罗傀儡鬼,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,388888
101,藤蔓妖花,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,388888
102,混沌兽,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,388888
103,蜃气妖,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,388888
104,修罗傀儡妖,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,388888
105,金身罗汉,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,388888
106,曼珠沙华,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,388888
107,毗舍童子,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,388888
108,真陀护法,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,388888
109,灵灯侍者,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,388888
110,涂山雪,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,388888
111,持国巡守,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,388888
112,增长巡守,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,388888
113,般若天女,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,388888
114,吸血鬼,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,388888
115,鬼将,宝宝,0,100|10|10|10|10|10,夜战|水属性吸收|必杀|偷袭|连击|幸运|吸血|敏捷|神佑复生|雷属性吸收|火属性吸收|土属性吸收,1440|1380|4500|2600|1330|1565|8888,1.23,20000000
116,吸血鬼,宝宝,0,100|10|10|10|10|10,夜战|水属性吸收|必杀|偷袭|连击|幸运|吸血|敏捷|神佑复生|雷属性吸收|火属性吸收|土属性吸收,1440|1380|4500|2600|1330|1565|8888,1.23,20000000
117,幽灵,宝宝,0,100|10|10|10|10|10,夜战|水属性吸收|必杀|偷袭|连击|幸运|吸血|敏捷|神佑复生|雷属性吸收|火属性吸收|土属性吸收,1440|1380|4500|2600|1330|1565|8888,1.23,20000000
118,画魂,宝宝,0,100|10|10|10|10|10,夜战|水属性吸收|必杀|偷袭|连击|幸运|吸血|敏捷|神佑复生|雷属性吸收|火属性吸收|土属性吸收,1440|1380|4500|2600|1330|1565|8888,1.23,20000000
119,鬼将,宝宝,0,100|10|10|10|10|10,烈火|水属性吸收|反击|法术连击|法术暴击|永恒|魔之心|火属性吸收|神佑复生|落岩|雷属性吸收|土属性吸收,1440|1380|4500|2600|1330|1565|8888,1.23,20000000
120,吸血鬼,宝宝,0,100|10|10|10|10|10,烈火|水属性吸收|反击|法术连击|法术暴击|永恒|魔之心|火属性吸收|神佑复生|落岩|雷属性吸收|土属性吸收,1440|1380|4500|2600|1330|1565|8888,1.23,20000000
121,幽灵,宝宝,0,100|10|10|10|10|10,烈火|水属性吸收|反击|法术连击|法术暴击|永恒|魔之心|火属性吸收|神佑复生|落岩|雷属性吸收|土属性吸收,1440|1380|4500|2600|1330|1565|8888,1.23,20000000
122,画魂,宝宝,0,100|10|10|10|10|10,烈火|水属性吸收|反击|法术连击|法术暴击|永恒|魔之心|火属性吸收|神佑复生|落岩|雷属性吸收|土属性吸收,1440|1380|4500|2600|1330|1565|8888,1.23,20000000
123,谛听,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,388888
124,广目巡守,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,388888
125,有苏鸩,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,388888
126,雪月蛙,宝宝,0,100|10|10|10|10|10,弱点火|落岩|水攻,888|888|888|888|888|888|8888,0.8,388888
