排名,经验,银子,物品1,物品2,物品3,物品4,物品5
72,1000000,1000000,制造指南书|120,百炼精铁|120,仙玉|10,,
73,1000000,1000000,制造指南书|120,百炼精铁|120,仙玉|10,,
74,1000000,1000000,制造指南书|120,百炼精铁|120,仙玉|10,,
75,1000000,1000000,制造指南书|120,百炼精铁|120,仙玉|10,,
76,1000000,1000000,制造指南书|120,百炼精铁|120,仙玉|10,,
77,1000000,1000000,制造指南书|120,百炼精铁|120,仙玉|10,,
78,1000000,1000000,制造指南书|120,百炼精铁|120,仙玉|10,,
79,1000000,1000000,制造指南书|120,百炼精铁|120,仙玉|10,,
80,1000000,1000000,制造指南书|120,百炼精铁|120,仙玉|10,,
81,1000000,1000000,制造指南书|120,百炼精铁|120,仙玉|10,,
82,1000000,1000000,制造指南书|120,百炼精铁|120,仙玉|10,,
83,1000000,1000000,制造指南书|120,百炼精铁|120,仙玉|10,,
84,1000000,1000000,制造指南书|120,百炼精铁|120,仙玉|10,,
85,1000000,1000000,制造指南书|120,百炼精铁|120,仙玉|10,,
86,1000000,1000000,制造指南书|120,百炼精铁|120,仙玉|10,,
87,1000000,1000000,制造指南书|120,百炼精铁|120,仙玉|10,,
88,1000000,1000000,制造指南书|120,百炼精铁|120,仙玉|10,,
89,1000000,1000000,制造指南书|120,百炼精铁|120,仙玉|10,,
90,1000000,1000000,制造指南书|120,百炼精铁|120,仙玉|10,,
91,1000000,1000000,制造指南书|120,百炼精铁|120,仙玉|10,,
92,1000000,1000000,制造指南书|120,百炼精铁|120,仙玉|10,,
93,1000000,1000000,制造指南书|120,百炼精铁|120,仙玉|10,,
94,1000000,1000000,制造指南书|120,百炼精铁|120,仙玉|10,,
95,1000000,1000000,制造指南书|120,百炼精铁|120,仙玉|10,,
96,1000000,1000000,制造指南书|120,百炼精铁|120,仙玉|10,,
97,1000000,1000000,制造指南书|120,百炼精铁|120,仙玉|10,,
98,1000000,1000000,制造指南书|120,百炼精铁|120,仙玉|10,,
99,1000000,1000000,制造指南书|120,百炼精铁|120,仙玉|10,,
100,1000000,1000000,制造指南书|120,百炼精铁|120,仙玉|10,,
